,RSSI,SNR,Freq,Prx,PL,Location,lat,long,Nb_floor,wall,Dist
148,-67,11.8,868300000,-67,87,loc_9,33.8655922,35.563529,2,0,21.98061378
149,-66,9.2,868300000,-66,86,loc_9,33.8655922,35.563529,2,0,21.98061378
150,-65,11.5,868300000,-65,85,loc_9,33.8655922,35.563529,2,0,21.98061378
151,-67,10.2,868100000,-67,87,loc_9,33.8655922,35.563529,2,0,21.98061378
152,-63,6.8,868500000,-63,83,loc_9,33.8655922,35.563529,2,0,21.98061378
153,-82,9.2,868300000,-82,102,loc_9,33.8655922,35.563529,2,0,21.98061378
154,-61,6.5,868500000,-61,81,loc_9,33.8655922,35.563529,2,0,21.98061378
155,-61,12,868100000,-61,81,loc_9,33.8655922,35.563529,2,0,21.98061378
156,-81,10.5,868300000,-81,101,loc_10,33.8657415,35.5637417,2,0,11.41206061
157,-72,10,868100000,-72,92,loc_10,33.8657415,35.5637417,2,0,11.41206061
158,-72,9.8,868300000,-72,92,loc_10,33.8657415,35.5637417,2,0,11.41206061
159,-71,7.5,868500000,-71,91,loc_10,33.8657415,35.5637417,2,0,11.41206061
160,-75,9.8,868100000,-75,95,loc_10,33.8657415,35.5637417,2,0,11.41206061
161,-72,8.5,868100000,-72,92,loc_10,33.8657415,35.5637417,2,0,11.41206061
162,-73,8.5,868100000,-73,93,loc_10,33.8657415,35.5637417,2,0,11.41206061
163,-72,9.8,868100000,-72,92,loc_10,33.8657415,35.5637417,2,0,11.41206061
164,-73,10.5,868300000,-73,93,loc_10,33.8657415,35.5637417,2,0,11.41206061
165,-67,7.2,868500000,-67,87,loc_10,33.8657415,35.5637417,2,0,11.41206061
166,-79,10.8,868100000,-79,99,loc_10,33.8657415,35.5637417,2,0,11.41206061
167,-85,8.5,868100000,-85,105,loc_10,33.8657415,35.5637417,2,0,11.41206061
168,-77,10,868300000,-77,97,loc_10,33.8657415,35.5637417,2,0,11.41206061
169,-81,9,868300000,-81,101,loc_10,33.8657415,35.5637417,2,0,11.41206061
170,-89,10.8,868300000,-89,109,loc_10,33.8657415,35.5637417,2,0,11.41206061
171,-71,7,868500000,-71,91,loc_10,33.8657415,35.5637417,2,0,11.41206061
172,-73,7.2,868500000,-73,93,loc_10,33.8657415,35.5637417,2,0,11.41206061
173,-69,7.2,868500000,-69,89,loc_10,33.8657415,35.5637417,2,0,11.41206061
174,-70,8.2,868300000,-70,90,loc_10,33.8657415,35.5637417,2,0,11.41206061
175,-71,9.8,868300000,-71,91,loc_10,33.8657415,35.5637417,2,0,11.41206061
176,-65,8,868500000,-65,85,loc_11,33.8656551,35.5636288,2,1,12.22954794
177,-60,8.8,868500000,-60,80,loc_11,33.8656551,35.5636288,2,1,12.22954794
178,-61,7.5,868500000,-61,81,loc_11,33.8656551,35.5636288,2,1,12.22954794
179,-60,9,868500000,-60,80,loc_11,33.8656551,35.5636288,2,1,12.22954794
180,-59,9.2,868300000,-59,79,loc_11,33.8656551,35.5636288,2,1,12.22954794
181,-59,7.8,868500000,-59,79,loc_11,33.8656551,35.5636288,2,1,12.22954794
182,-64,9.8,868100000,-64,84,loc_11,33.8656551,35.5636288,2,1,12.22954794
183,-63,11.2,868100000,-63,83,loc_11,33.8656551,35.5636288,2,1,12.22954794
184,-60,8,868500000,-60,80,loc_11,33.8656551,35.5636288,2,1,12.22954794
185,-57,8.2,868500000,-57,77,loc_11,33.8656551,35.5636288,2,1,12.22954794
186,-57,9.2,868100000,-57,77,loc_11,33.8656551,35.5636288,2,1,12.22954794
187,-56,11.2,868100000,-56,76,loc_11,33.8656551,35.5636288,2,1,12.22954794
188,-59,8.2,868500000,-59,79,loc_11,33.8656551,35.5636288,2,1,12.22954794
189,-56,9.8,868300000,-56,76,loc_11,33.8656551,35.5636288,2,1,12.22954794
190,-65,10.2,868100000,-65,85,loc_11,33.8656551,35.5636288,2,1,12.22954794
191,-66,10.2,868100000,-66,86,loc_11,33.8656551,35.5636288,2,1,12.22954794
192,-62,7.5,868500000,-62,82,loc_11,33.8656551,35.5636288,2,1,12.22954794
193,-56,8,868500000,-56,76,loc_11,33.8656551,35.5636288,2,1,12.22954794
194,-58,7.2,868500000,-58,78,loc_11,33.8656551,35.5636288,2,1,12.22954794
195,-58,9.2,868100000,-58,78,loc_11,33.8656551,35.5636288,2,1,12.22954794
196,-81,8.2,868500000,-81,101,loc_12,33.8657123,35.5634837,2,2,26.74763165
197,-79,12.2,868100000,-79,99,loc_12,33.8657123,35.5634837,2,2,26.74763165
198,-79,7.8,868500000,-79,99,loc_12,33.8657123,35.5634837,2,2,26.74763165
199,-87,9.8,868100000,-87,107,loc_12,33.8657123,35.5634837,2,2,26.74763165
200,-85,8,868100000,-85,105,loc_12,33.8657123,35.5634837,2,2,26.74763165
201,-78,11.2,868100000,-78,98,loc_12,33.8657123,35.5634837,2,2,26.74763165
202,-88,9.8,868300000,-88,108,loc_12,33.8657123,35.5634837,2,2,26.74763165
203,-87,9.8,868300000,-87,107,loc_12,33.8657123,35.5634837,2,2,26.74763165
204,-81,10.5,868300000,-81,101,loc_12,33.8657123,35.5634837,2,2,26.74763165
205,-83,8.2,868500000,-83,103,loc_12,33.8657123,35.5634837,2,2,26.74763165
206,-72,8.2,868500000,-72,92,loc_12,33.8657123,35.5634837,2,2,26.74763165
207,-93,11,868300000,-93,113,loc_12,33.8657123,35.5634837,2,2,26.74763165
208,-76,10.2,868100000,-76,96,loc_12,33.8657123,35.5634837,2,2,26.74763165
209,-68,8,868500000,-68,88,loc_12,33.8657123,35.5634837,2,2,26.74763165
210,-77,11,868300000,-77,97,loc_12,33.8657123,35.5634837,2,2,26.74763165
211,-73,8.2,868500000,-73,93,loc_12,33.8657123,35.5634837,2,2,26.74763165
212,-80,10,868100000,-80,100,loc_12,33.8657123,35.5634837,2,2,26.74763165
213,-75,8,868500000,-75,95,loc_12,33.8657123,35.5634837,2,2,26.74763165
214,-77,10.2,868100000,-77,97,loc_12,33.8657117,35.5635467,2,1,21.24662848
215,-67,10.5,868100000,-67,87,loc_12,33.8657117,35.5635467,2,1,21.24662848
216,-70,11.2,868100000,-70,90,loc_12,33.8657117,35.5635467,2,1,21.24662848
217,-72,8.2,868500000,-72,92,loc_12,33.8657117,35.5635467,2,1,21.24662848
218,-74,8.5,868300000,-74,94,loc_12,33.8657117,35.5635467,2,1,21.24662848
219,-68,9.8,868100000,-68,88,loc_12,33.8657117,35.5635467,2,1,21.24662848
220,-76,8.2,868500000,-76,96,loc_12,33.8657117,35.5635467,2,1,21.24662848
221,-74,10,868100000,-74,94,loc_12,33.8657117,35.5635467,2,1,21.24662848
222,-68,7.8,868500000,-68,88,loc_12,33.8657117,35.5635467,2,1,21.24662848
223,-69,10,868300000,-69,89,loc_12,33.8657117,35.5635467,2,1,21.24662848
224,-75,10,868100000,-75,95,loc_12,33.8657117,35.5635467,2,1,21.24662848
225,-75,7.5,868500000,-75,95,loc_12,33.8657117,35.5635467,2,1,21.24662848
226,-76,10,868100000,-76,96,loc_12,33.8657117,35.5635467,2,1,21.24662848
227,-71,7.8,868500000,-71,91,loc_12,33.8657117,35.5635467,2,1,21.24662848
228,-77,7.8,868500000,-77,97,loc_12,33.8657117,35.5635467,2,1,21.24662848
229,-73,8.8,868300000,-73,93,loc_12,33.8657117,35.5635467,2,1,21.24662848
230,-71,10.2,868300000,-71,91,loc_12,33.8657117,35.5635467,2,1,21.24662848
231,-69,8.5,868500000,-69,89,loc_12,33.8657117,35.5635467,2,1,21.24662848
232,-71,8.8,868500000,-71,91,loc_12,33.8657117,35.5635467,2,1,21.24662848
233,-71,10,868100000,-71,91,loc_12,33.8657117,35.5635467,2,1,21.24662848
234,-67,10,868500000,-67,87,loc_13,33.8656337,35.5633906,2,2,34.11401882
235,-65,8,868500000,-65,85,loc_13,33.8656337,35.5633906,2,2,34.11401882
