index,rssi,distance,floor,wall
25,-91,300,0,0
28,-91,300,0,0
31,-93,300,0,0
38,-91,300,0,0
48,-95,300,0,0
50,-95,300,0,0
58,-96,300,0,0
62,-96,300,0,0
91,-97,300,0,0
95,-99,300,0,0
96,-93,300,0,0
97,-95,300,0,0
99,-95,300,0,0
109,-99,300,0,0
121,-96,300,0,0
132,-104,300,0,0
140,-93,300,0,0
142,-97,300,0,0
144,-107,300,0,0
147,-99,300,0,0
151,-95,300,0,0
157,-94,300,0,0
15:,-92,300,0,0
162,-96,300,0,0
163,-96,300,0,0
164,-93,300,0,0
168,-94,300,0,0
171,-97,300,0,0
176,-92,300,0,0
179,-92,300,0,0
183,-93,300,0,0
187,-93,300,0,0
191,-92,300,0,0
192,-92,300,0,0
196,-92,300,0,0
197,-91,300,0,0
211,-92,300,0,0
213,-94,300,0,0
214,-92,300,0,0
216,-96,300,0,0
217,-96,300,0,0
77,-49,1,0,0
79,-48,1,0,0
81,-49,1,0,0
93,-52,1,0,0
96,-51,1,0,0
97,-51,1,0,0
105,-51,1,0,0
109,-52,1,0,0
126,-51,1,0,0
127,-50,1,0,0
139,-52,1,0,0
143,-52,1,0,0
147,-53,1,0,0
149,-53,1,0,0
151,-34,1,0,0
8,-53,4,0,0
9,-53,4,0,0
17,-48,4,0,0
23,-51,4,0,0
26,-50,4,0,0
45,-50,4,0,0
54,-49,4,0,0
61,-58,4,0,0
64,-64,4,0,0
80,-59,4,0,0
84,-58,4,0,0
92,-63,4,0,0
98,-61,4,0,0
103,-64,4,0,0
11,-47,4,0,0
20,-48,4,0,0
29,-49,4,0,0
30,-50,4,0,0
32,-49,4,0,0
34,-54,4,0,0
44,-51,4,0,0
59,-49,4,0,0
64,-64,4,0,0
102,-59,4,0,0
